"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:42:44,2158023","sample_1_r3.exe","2860","CloseFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS",""
"15:42:44,2158540","sample_1_r3.exe","2860","CreateFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:44,2158681","sample_1_r3.exe","2860","CreateFileMapping","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:42:44,2158760","sample_1_r3.exe","2860","QueryStandardInformationFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","AllocationSize: 532.480, EndOfFile: 530.432, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:42:44,2158917","sample_1_r3.exe","2860","CreateFileMapping","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","SyncType: SyncTypeOther"
"15:42:44,2159377","sample_1_r3.exe","2860","CloseFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS",""
"15:42:44,2160407","sample_1_r3.exe","2860","CreateFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:44,2160543","sample_1_r3.exe","2860","QueryBasicInformationFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","CreationTime: 09/12/2020 18:59:50, LastAccessTime: 09/12/2020 18:59:50, LastWriteTime: 24/04/2015 19:56:58, ChangeTime: 09/12/2020 19:28:04, FileAttributes: A"
"15:42:44,2160631","sample_1_r3.exe","2860","CloseFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS",""
"15:42:44,2161152","sample_1_r3.exe","2860","CreateFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:44,2161294","sample_1_r3.exe","2860","CreateFileMapping","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:42:44,2161372","sample_1_r3.exe","2860","QueryStandardInformationFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","AllocationSize: 532.480, EndOfFile: 530.432, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:42:44,2161531","sample_1_r3.exe","2860","CreateFileMapping","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","SyncType: SyncTypeOther"
"15:42:44,2161887","sample_1_r3.exe","2860","CloseFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS",""
"15:42:44,2173158","sample_1_r3.exe","2860","CloseFile","C:\Windows\AppPatch\sysmain.sdb","SUCCESS",""
"15:42:44,2176135","sample_1_r3.exe","2860","ReadFile","C:\Windows\AppPatch\AcGenral.dll","SUCCESS","Offset: 181.248, Length: 32.768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Low"
"15:42:44,2746202","sample_1_r3.exe","2860","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","REPARSE","Desired Access: Read"
"15:42:44,2746844","sample_1_r3.exe","2860","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS","Desired Access: Read"
"15:42:44,2747394","sample_1_r3.exe","2860","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:42:44,2747738","sample_1_r3.exe","2860","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\es-ES","NAME NOT FOUND","Length: 532"
"15:42:44,2748158","sample_1_r3.exe","2860","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS",""
"15:42:44,2748592","sample_1_r3.exe","2860","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","REPARSE","Desired Access: Read"
"15:42:44,2748959","sample_1_r3.exe","2860","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS","Desired Access: Read"
"15:42:44,2749319","sample_1_r3.exe","2860","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:42:44,2749595","sample_1_r3.exe","2860","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale\es-ES","NAME NOT FOUND","Length: 532"
"15:42:44,2749932","sample_1_r3.exe","2860","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS",""
"15:42:44,2750564","sample_1_r3.exe","2860","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\000000FF.000000FF","SUCCESS","Type: REG_SZ, Length: 50, Data: SortServer2003Compat.dll"
"15:42:44,2755384","sample_1_r3.exe","2860","CreateFile","C:\Users\pandalabs\Downloads\sam_1_r3\SortServer2003Compat.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:42:44,2758362","sample_1_r3.exe","2860","CreateFile","C:\Users\pandalabs\Downloads\sam_1_r3\SortServer2003Compat.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:42:44,2761502","sample_1_r3.exe","2860","CreateFile","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
