"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:42:22,8459553","sample_1_r3.exe","2884","Process Start","","SUCCESS","Parent PID: 1328, Command line: ""C:\Users\pandalabs\Downloads\sam_1_r3\sample_1_r3.exe"" , Current directory: C:\Users\pandalabs\Downloads\sam_1_r3\, Environment: ;	=::=::\;	ALLUSERSPROFILE=C:\ProgramData;	APPDATA=C:\Users\pandalabs\AppData\Roaming;	CommonProgramFiles=C:\Program Files\Common Files;	CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files;	CommonProgramW6432=C:\Program Files\Common Files;	COMPUTERNAME=ESEUSKRW76401;	ComSpec=C:\Windows\system32\cmd.exe;	FP_NO_HOST_CHECK=NO;	HOMEDRIVE=C:;	HOMEPATH=\Users\pandalabs;	LOCALAPPDATA=C:\Users\pandalabs\AppData\Local;	LOGONSERVER=\\ESEUSKRW76401;	NUMBER_OF_PROCESSORS=2;	OS=Windows_NT;	Path=C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\010 Editor;C:\Users\pandalabs\AppData\Local\Programs\Fiddler;	PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;	PROCESSOR_ARCHITECTURE=AMD64;	PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 85 Stepping 7, GenuineIntel;	PROCESSOR_LEVEL=6;	PROCESSOR_REVISION=5507;	ProgramData=C:\ProgramData;	ProgramFiles=C:\Program Files;	ProgramFiles(x86)=C:\Program Files (x86);	ProgramW6432=C:\Program Files;	PSModulePath=C:\Windows\system32\WindowsPowerShell\v1.0\Modules\;	PUBLIC=C:\Users\Public;	SESSIONNAME=Console;	SystemDrive=C:;	SystemRoot=C:\Windows;	TEMP=C:\Users\PANDAL~1\AppData\Local\Temp;	TMP=C:\Users\PANDAL~1\AppData\Local\Temp;	USERDOMAIN=ESEUSKRW76401;	USERNAME=pandalabs;	USERPROFILE=C:\Users\pandalabs;	windir=C:\Windows;	windows_tracing_flags=3;	windows_tracing_logfile=C:\BVTBin\Tests\installpackage\csilogfile.log"
"15:42:22,8460031","sample_1_r3.exe","2884","Thread Create","","SUCCESS","Thread ID: 1112"
"15:42:22,8672084","sample_1_r3.exe","2884","Load Image","C:\Users\pandalabs\Downloads\sam_1_r3\sample_1_r3.exe","SUCCESS","Image Base: 0x400000, Image Size: 0x22000"
"15:42:22,8672994","sample_1_r3.exe","2884","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x772f0000, Image Size: 0x19f000"
"15:42:22,8673801","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\ntdll.dll","SUCCESS","Image Base: 0x774b0000, Image Size: 0x180000"
"15:42:22,8674725","sample_1_r3.exe","2884","CreateFile","C:\Windows\Prefetch\SAMPLE_1_R3.EXE-881AB11D.pf","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: None, AllocationSize: n/a"
"15:42:22,8675792","sample_1_r3.exe","2884","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"15:42:22,8676133","sample_1_r3.exe","2884","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\DisableUserModeCallbackFilter","NAME NOT FOUND","Length: 1.024"
"15:42:22,8676292","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Read"
"15:42:22,8676532","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Read"
"15:42:22,8676697","sample_1_r3.exe","2884","RegQueryValue","HKLM\System\CurrentControlSet\Control\SESSION MANAGER\CWDIllegalInDLLSearch","NAME NOT FOUND","Length: 1.024"
"15:42:22,8677025","sample_1_r3.exe","2884","RegQueryValue","HKLM\System\CurrentControlSet\Control\SESSION MANAGER\NtdllForAntares","NAME NOT FOUND","Length: 1.024"
"15:42:22,8677219","sample_1_r3.exe","2884","RegCloseKey","HKLM\System\CurrentControlSet\Control\SESSION MANAGER","SUCCESS",""
"15:42:22,8679175","sample_1_r3.exe","2884","CreateFile","C:\Windows","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8680906","sample_1_r3.exe","2884","CreateFile","C:\Windows\System32\wow64.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8681451","sample_1_r3.exe","2884","QueryBasicInformationFile","C:\Windows\System32\wow64.dll","SUCCESS","CreationTime: 10/12/2020 17:48:57, LastAccessTime: 10/12/2020 17:48:57, LastWriteTime: 03/01/2020 5:33:59, ChangeTime: 10/12/2020 18:59:47, FileAttributes: A"
"15:42:22,8681640","sample_1_r3.exe","2884","CloseFile","C:\Windows\System32\wow64.dll","SUCCESS",""
"15:42:22,8682345","sample_1_r3.exe","2884","CreateFile","C:\Windows\System32\wow64.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8682852","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\System32\wow64.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:42:22,8683362","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\System32\wow64.dll","SUCCESS","SyncType: SyncTypeOther"
"15:42:22,8684025","sample_1_r3.exe","2884","Load Image","C:\Windows\System32\wow64.dll","SUCCESS","Image Base: 0x73850000, Image Size: 0x3f000"
"15:42:22,8684239","sample_1_r3.exe","2884","CloseFile","C:\Windows\System32\wow64.dll","SUCCESS",""
"15:42:22,8686158","sample_1_r3.exe","2884","CreateFile","C:\Windows\System32\wow64win.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8686631","sample_1_r3.exe","2884","QueryBasicInformationFile","C:\Windows\System32\wow64win.dll","SUCCESS","CreationTime: 10/12/2020 17:48:59, LastAccessTime: 10/12/2020 17:48:59, LastWriteTime: 03/01/2020 5:33:59, ChangeTime: 10/12/2020 18:59:47, FileAttributes: A"
"15:42:22,8686770","sample_1_r3.exe","2884","CloseFile","C:\Windows\System32\wow64win.dll","SUCCESS",""
"15:42:22,8687453","sample_1_r3.exe","2884","CreateFile","C:\Windows\System32\wow64win.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8688271","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\System32\wow64win.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:42:22,8688825","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\System32\wow64win.dll","SUCCESS","SyncType: SyncTypeOther"
"15:42:22,8689804","sample_1_r3.exe","2884","Load Image","C:\Windows\System32\wow64win.dll","SUCCESS","Image Base: 0x737f0000, Image Size: 0x5c000"
"15:42:22,8689996","sample_1_r3.exe","2884","CloseFile","C:\Windows\System32\wow64win.dll","SUCCESS",""
"15:42:22,8691983","sample_1_r3.exe","2884","CreateFile","C:\Windows\System32\wow64cpu.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8692591","sample_1_r3.exe","2884","QueryBasicInformationFile","C:\Windows\System32\wow64cpu.dll","SUCCESS","CreationTime: 10/12/2020 17:49:01, LastAccessTime: 10/12/2020 17:49:01, LastWriteTime: 03/01/2020 5:33:59, ChangeTime: 10/12/2020 18:59:47, FileAttributes: A"
"15:42:22,8692715","sample_1_r3.exe","2884","CloseFile","C:\Windows\System32\wow64cpu.dll","SUCCESS",""
"15:42:22,8693851","sample_1_r3.exe","2884","CreateFile","C:\Windows\System32\wow64cpu.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8694342","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\System32\wow64cpu.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:42:22,8694852","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\System32\wow64cpu.dll","SUCCESS","SyncType: SyncTypeOther"
"15:42:22,8695777","sample_1_r3.exe","2884","Load Image","C:\Windows\System32\wow64cpu.dll","SUCCESS","Image Base: 0x737e0000, Image Size: 0x8000"
"15:42:22,8695947","sample_1_r3.exe","2884","CloseFile","C:\Windows\System32\wow64cpu.dll","SUCCESS",""
"15:42:22,8696969","sample_1_r3.exe","2884","RegOpenKey","HKLM\SOFTWARE\Microsoft\WOW64","NAME NOT FOUND","Desired Access: Query Value"
"15:42:22,8703428","sample_1_r3.exe","2884","CreateFile","C:\Windows\System32\wow64log.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:42:22,8704617","sample_1_r3.exe","2884","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x771d0000, Image Size: 0x11f000"
"15:42:22,8706009","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Image Base: 0x75c60000, Image Size: 0x110000"
"15:42:22,8707668","sample_1_r3.exe","2884","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x771d0000, Image Size: 0x11f000"
"15:42:22,8708568","sample_1_r3.exe","2884","Load Image","C:\Windows\System32\user32.dll","SUCCESS","Image Base: 0x770d0000, Image Size: 0xfa000"
"15:42:22,8709440","sample_1_r3.exe","2884","CreateFile","C:\Windows","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8709698","sample_1_r3.exe","2884","QueryNameInformationFile","C:\Windows","SUCCESS","Name: \Windows"
"15:42:22,8709856","sample_1_r3.exe","2884","CloseFile","C:\Windows","SUCCESS",""
"15:42:22,8711141","sample_1_r3.exe","2884","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"15:42:22,8711328","sample_1_r3.exe","2884","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:42:22,8711470","sample_1_r3.exe","2884","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\DisableUserModeCallbackFilter","NAME NOT FOUND","Length: 1.024"
"15:42:22,8711588","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Read"
"15:42:22,8711720","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Read"
"15:42:22,8711886","sample_1_r3.exe","2884","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\SESSION MANAGER","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:42:22,8711984","sample_1_r3.exe","2884","RegQueryValue","HKLM\System\CurrentControlSet\Control\SESSION MANAGER\CWDIllegalInDLLSearch","NAME NOT FOUND","Length: 1.024"
"15:42:22,8712071","sample_1_r3.exe","2884","RegQueryValue","HKLM\System\CurrentControlSet\Control\SESSION MANAGER\NtdllForAntares","NAME NOT FOUND","Length: 1.024"
"15:42:22,8712202","sample_1_r3.exe","2884","RegCloseKey","HKLM\System\CurrentControlSet\Control\SESSION MANAGER","SUCCESS",""
"15:42:22,8714181","sample_1_r3.exe","2884","CreateFile","C:\Users\pandalabs\Downloads\sam_1_r3","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8715313","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Image Base: 0x75c60000, Image Size: 0x110000"
"15:42:22,8716964","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Image Base: 0x74c70000, Image Size: 0x47000"
"15:42:22,8720687","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","REPARSE","Desired Access: Read"
"15:42:22,8720835","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS","Desired Access: Read"
"15:42:22,8720983","sample_1_r3.exe","2884","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:42:22,8721064","sample_1_r3.exe","2884","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSAppCompat","NAME NOT FOUND","Length: 548"
"15:42:22,8721186","sample_1_r3.exe","2884","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSUserEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"15:42:22,8721308","sample_1_r3.exe","2884","RegCloseKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS",""
"15:42:22,8721510","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"15:42:22,8721617","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"15:42:22,8721743","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"15:42:22,8721860","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"15:42:22,8721995","sample_1_r3.exe","2884","RegOpenKey","HKLM\Software\Wow6432Node\Policies\Microsoft\Windows\Safer\CodeIdentifiers","REPARSE","Desired Access: Query Value"
"15:42:22,8722127","sample_1_r3.exe","2884","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"15:42:22,8722250","sample_1_r3.exe","2884","RegSetInfoKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:42:22,8722324","sample_1_r3.exe","2884","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"15:42:22,8722418","sample_1_r3.exe","2884","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"15:42:22,8722646","sample_1_r3.exe","2884","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"15:42:22,8724100","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\user32.dll","SUCCESS","Image Base: 0x76fd0000, Image Size: 0x100000"
"15:42:22,8725351","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\gdi32.dll","SUCCESS","Image Base: 0x76b80000, Image Size: 0x90000"
"15:42:22,8727054","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\lpk.dll","SUCCESS","Image Base: 0x76900000, Image Size: 0xa000"
"15:42:22,8728439","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\usp10.dll","SUCCESS","Image Base: 0x76f30000, Image Size: 0x9d000"
"15:42:22,8729404","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\msvcrt.dll","SUCCESS","Image Base: 0x761a0000, Image Size: 0xac000"
"15:42:22,8732544","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\advapi32.dll","SUCCESS","Image Base: 0x75d80000, Image Size: 0xa1000"
"15:42:22,8735446","sample_1_r3.exe","2884","CreateFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8736397","sample_1_r3.exe","2884","QueryBasicInformationFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS","CreationTime: 09/12/2020 19:02:00, LastAccessTime: 09/12/2020 19:02:00, LastWriteTime: 25/05/2015 20:01:39, ChangeTime: 10/12/2020 10:11:59, FileAttributes: A"
"15:42:22,8736536","sample_1_r3.exe","2884","CloseFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS",""
"15:42:22,8737671","sample_1_r3.exe","2884","CreateFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8738504","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\SysWOW64\sechost.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:42:22,8738977","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\SysWOW64\sechost.dll","SUCCESS","SyncType: SyncTypeOther"
"15:42:22,8740065","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\sechost.dll","SUCCESS","Image Base: 0x76150000, Image Size: 0x19000"
"15:42:22,8740247","sample_1_r3.exe","2884","CloseFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS",""
"15:42:22,8742066","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\rpcrt4.dll","SUCCESS","Image Base: 0x76810000, Image Size: 0xf0000"
"15:42:22,8743721","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\sspicli.dll","SUCCESS","Image Base: 0x74c10000, Image Size: 0x60000"
"15:42:22,8744889","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\cryptbase.dll","SUCCESS","Image Base: 0x74c00000, Image Size: 0xc000"
"15:42:22,8748966","sample_1_r3.exe","2884","CreateFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8749640","sample_1_r3.exe","2884","QueryBasicInformationFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","CreationTime: 09/12/2020 18:59:53, LastAccessTime: 09/12/2020 18:59:53, LastWriteTime: 29/10/2015 19:49:58, ChangeTime: 10/12/2020 10:11:57, FileAttributes: A"
"15:42:22,8749747","sample_1_r3.exe","2884","CloseFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS",""
"15:42:22,8750643","sample_1_r3.exe","2884","CreateFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8751342","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\SysWOW64\apphelp.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:42:22,8751836","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","SyncType: SyncTypeOther"
"15:42:22,8753143","sample_1_r3.exe","2884","Load Image","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","Image Base: 0x72160000, Image Size: 0x4c000"
"15:42:22,8753346","sample_1_r3.exe","2884","CloseFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS",""
"15:42:22,8755455","sample_1_r3.exe","2884","CreateFile","C:\Windows\AppPatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8756224","sample_1_r3.exe","2884","QueryStandardInformationFile","C:\Windows\AppPatch\sysmain.sdb","SUCCESS","AllocationSize: 4.083.712, EndOfFile: 4.082.518, NumberOfLinks: 2, DeletePending: False, Directory: False"
"15:42:22,8756365","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\AppPatch\sysmain.sdb","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:42:22,8756455","sample_1_r3.exe","2884","QueryStandardInformationFile","C:\Windows\AppPatch\sysmain.sdb","SUCCESS","AllocationSize: 4.083.712, EndOfFile: 4.082.518, NumberOfLinks: 2, DeletePending: False, Directory: False"
"15:42:22,8756661","sample_1_r3.exe","2884","CreateFileMapping","C:\Windows\AppPatch\sysmain.sdb","SUCCESS","SyncType: SyncTypeOther"
"15:42:22,8756885","sample_1_r3.exe","2884","QueryStandardInformationFile","C:\Windows\AppPatch\sysmain.sdb","SUCCESS","AllocationSize: 4.083.712, EndOfFile: 4.082.518, NumberOfLinks: 2, DeletePending: False, Directory: False"
"15:42:22,8757374","sample_1_r3.exe","2884","RegOpenKey","HKCU\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","Desired Access: Query Value"
"15:42:22,8757580","sample_1_r3.exe","2884","RegSetInfoKey","HKCU\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:42:22,8757695","sample_1_r3.exe","2884","RegQueryValue","HKCU\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\ShowDebugInfo","NAME NOT FOUND","Length: 256"
"15:42:22,8757828","sample_1_r3.exe","2884","RegCloseKey","HKCU\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS",""
"15:42:22,8758572","sample_1_r3.exe","2884","CreateFile","C:\Users\pandalabs\Downloads\sam_1_r3\sample_1_r3.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"15:42:22,8758834","sample_1_r3.exe","2884","QuerySecurityFile","C:\Users\pandalabs\Downloads\sam_1_r3\sample_1_r3.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label"
"15:42:22,8758963","sample_1_r3.exe","2884","QueryBasicInformationFile","C:\Users\pandalabs\Downloads\sam_1_r3\sample_1_r3.exe","SUCCESS","CreationTime: 30/08/2021 15:40:49, LastAccessTime: 30/08/2021 15:40:49, LastWriteTime: 21/04/2006 10:35:42, ChangeTime: 30/08/2021 15:41:06, FileAttributes: A"
"15:42:22,8759113","sample_1_r3.exe","2884","QuerySecurityFile","C:\Users\pandalabs\Downloads\sam_1_r3\sample_1_r3.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label"
"15:42:22,8759230","sample_1_r3.exe","2884","QueryBasicInformationFile","C:\Users\pandalabs\Downloads\sam_1_r3\sample_1_r3.exe","SUCCESS","CreationTime: 30/08/2021 15:40:49, LastAccessTime: 30/08/2021 15:40:49, LastWriteTime: 21/04/2006 10:35:42, ChangeTime: 30/08/2021 15:41:06, FileAttributes: A"
"15:42:22,8759389","sample_1_r3.exe","2884","CloseFile","C:\Users\pandalabs\Downloads\sam_1_r3\sample_1_r3.exe","SUCCESS",""
"15:42:22,8764791","sample_1_r3.exe","2884","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Nls\CustomLocale","REPARSE","Desired Access: Query Value"
"15:42:22,8764983","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS","Desired Access: Query Value"
"15:42:22,8765141","sample_1_r3.exe","2884","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:42:22,8765228","sample_1_r3.exe","2884","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\EMPTY","NAME NOT FOUND","Length: 120"
"15:42:22,8765339","sample_1_r3.exe","2884","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\EMPTY","NAME NOT FOUND","Length: 120"
"15:42:22,8765814","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\NLS\Language","REPARSE","Desired Access: Read"
"15:42:22,8765944","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\NLS\Language","SUCCESS","Desired Access: Read"
"15:42:22,8766097","sample_1_r3.exe","2884","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Nls\Language","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:42:22,8766195","sample_1_r3.exe","2884","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Language\InstallLanguageFallback","NAME NOT FOUND","Length: 16"
"15:42:22,8766391","sample_1_r3.exe","2884","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\Language","SUCCESS",""
"15:42:22,8766530","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\MUI\UILanguages","REPARSE","Desired Access: Read"
"15:42:22,8766656","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\MUI\UILanguages","SUCCESS","Desired Access: Read"
"15:42:22,8766871","sample_1_r3.exe","2884","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\MUI\UILanguages","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:42:22,8767218","sample_1_r3.exe","2884","RegEnumKey","HKLM\System\CurrentControlSet\Control\MUI\UILanguages","SUCCESS","Index: 0, Name: en-US"
"15:42:22,8767714","sample_1_r3.exe","2884","RegQueryKey","HKLM\System\CurrentControlSet\Control\MUI\UILanguages","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"15:42:22,8767957","sample_1_r3.exe","2884","RegOpenKey","HKLM\System\CurrentControlSet\Control\MUI\UILanguages\en-US","SUCCESS","Desired Access: Read"
"15:42:22,8768282","sample_1_r3.exe","2884","RegQueryValue","HKLM\System\CurrentControlSet\Control\MUI\UILanguages\en-US\Type","SUCCESS","Type: REG_DWORD, Length: 4, Data: 145"
